,,,Check List,,Pengaturan,Start,End,,Count,
,,,TRUE,Ampicilin-sulbactam,,,,,,
,,,TRUE,Ampicillin,,,,,,
,,,TRUE,Amoxicillin,,,,,,
,,,TRUE,Amox-Clav,,,,,,
,,,TRUE,Doripenem,,,,,,
,,,TRUE,Ertapenem,,,,,,
,,,TRUE,Imipenem,,,,,,
,,,TRUE,Faropenem,,,,,,
,,,TRUE,Meropenem/vaborbactam,,,,,,
,,,TRUE,Meropenem,,,,,,
,Aztreonam,TRUE,TRUE,Aztreonam,,,,,,
,Fluoroquinolone,TRUE,TRUE,Ciprofloxacin,,,,,,
,,,TRUE,Ofloxacin,,,,,,
,,,TRUE,Levofloxacin,,,,,,
,,,TRUE,Moxifloxacin,,,,,,
,Parenteral Cephalosporins,TRUE,TRUE,Ceftaroline,,,,,,
,,,TRUE,cefalexin,,,,,,
,,,TRUE,cefquinome,,,,,,
,,,TRUE,cefpirome,,,,,,
,,,TRUE,ceftizoxime,,,,,,
,,,TRUE,ceftiofur,,,,,,
,,,TRUE,cefovecin,,,,,,
,,,TRUE,cefmenoxim,,,,,,
,,,TRUE,ceftibuten,,,,,,
,,,TRUE,cefpodoxime,,,,,,
,,,TRUE,cefixime,,,,,,
,,,TRUE,cefditoren,,,,,,
,,,TRUE,cefdinir,,,,,,
,,,TRUE,cefotetan,,,,,,
,,,TRUE,cefmetazole,,,,,,
,,,TRUE,cefuroxime,,,,,,
,,,TRUE,cefamandole,,,,,,
,,,TRUE,cephapirin,,,,,,
,,,TRUE,cefradine,,,,,,
,,,TRUE,cefprozil,,,,,,
,,,TRUE,cefonicid,,,,,,
,,,TRUE,cefetamet,,,,,,
,,,TRUE,Cefalotin,,,,,,
,,,TRUE,Cefadroxil,,,,,,
,,,TRUE,Cefaclor,,,,,,
,,,TRUE,Latamoxef,,,,,,
,,,TRUE,Flomoxef,,,,,,
,,,TRUE,Cefazolin,,,,,,
,,,TRUE,Cefoxitin,,,,,,
,,,TRUE,Cefotaxime,,,,,,
,,,TRUE,Ceftriaxone,,,,,,
,,,TRUE,Ceftazidime/Avibactam,,,,,,
,,,TRUE,Ceftazidime,,,,,,
,,,TRUE,Cefepime,,,,,,
,,,TRUE,Ceftobiprole,,,,,,
,,,TRUE,Cefoperazone-Sulbactam,,,,,,
,,,TRUE,Cefoperazone,,,,,,
,Aminoglyco,TRUE,TRUE,Streptomycin High level,,,,,,
,,,TRUE,Gentamicin high level,,,,,,
,,,TRUE,Gentamicin,,,,,,
,,,TRUE,Tobramycin,,,,,,
,,,TRUE,Amikacin,,,,,,
,Lincosamide,TRUE,TRUE,Clindamycin,,,,,,
,Macrolides,TRUE,TRUE,clarithromicin,,,,,,
,,,TRUE,Dirithromycin,,,,,,
,,,TRUE,Erythromycin,,,,,,
,,,TRUE,Azithromycin,,,,,,
,Tetracyclines,TRUE,TRUE,Doxycycline,,,,,,
,,,TRUE,Minocycline,,,,,,
,,,TRUE,Tetracycline,,,,,,
,,,TRUE,Tigecycline,,,,,,
,Glycopeptida,TRUE,TRUE,Teicoplanin,,,,,,
,,,TRUE,Vancomycin,,,,,,
,Ox-lid,TRUE,TRUE,Linezolid,,,,,,
,,,TRUE,Trimethroprim/Sulfamethoxazole,,,,,,
,,,TRUE,Tedizolid,,,,,,
,Other,TRUE,TRUE,Chloramphenicol,,,,,,
,,,TRUE,Nitrofurantoin,,,,,,
,,,TRUE,Rifampin,,,,,,
,,,TRUE,Quinu-Dalfo,,,,,,
